BFLOG : ***** Blue Fang Application Logfile *****
BFLOG : ***** Log Severity = 9  Delta1 = 0
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 15 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 19 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 16 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 20 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 17 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 18 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(787) : NOTE  : added guest; now 21 guests have entered this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 19 guests have left this month
E:\Zoo\src\zt\zoostatus.cpp(795) : NOTE  : guest left; now 20 guests have left this month
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1135) : NOTE  : terrainChanged took 0 ms
E:\Zoo\src\zt\zthabitatmgr.cpp(1098) : NOTE  : terrainAboutToBeChanged took 0 ms
